id,user_id,transaction_detail,total_coins,coins,created_at,updated_at,category
219,92," Hey Friend, good you got 50 coins for the YouTube How it works page",280,50,"2022-01-12 21:41:56","2022-01-12 21:41:56",te
220,93," Hey Friend, good you got 50 coins for the Youtube contact us page",230,50,"2022-01-12 21:43:46","2022-01-12 21:43:46",te
221,93," Hey Friend, good you got 50 coins for the YouTube How it works page",280,50,"2022-01-12 21:47:25","2022-01-12 21:47:25",te
222,94," Hey Friend, good you got 50 coins for the Youtube contact us page",380,50,"2022-01-12 21:49:22","2022-01-12 21:49:22",te
223,94," Hey Friend, good you got 50 coins for the YouTube How it works page",430,50,"2022-01-12 21:51:17","2022-01-12 21:51:17",te
224,96," Hey Friend, good you got 50 coins for the Youtube contact us page",255,50,"2022-01-12 21:52:52","2022-01-12 21:52:52",te
225,96," Hey Friend, good you got 50 coins for the YouTube How it works page",305,50,"2022-01-12 21:53:53","2022-01-12 21:53:53",te
226,98," Hey Friend, good you got 50 coins for the Git hub Repo",135,50,"2022-01-12 21:55:04","2022-01-12 21:55:04",te
227,98," Hey Friend, good you got 50 coins for the Youtube contact us page",185,50,"2022-01-12 21:58:08","2022-01-12 21:58:08",te
230,40,"Coins removed for the late submission of Design your app idea using Figma task",-20,-10,"2022-01-13 03:00:07","2022-01-13 03:00:07",ptd
231,52,"Coins removed for the late submission of Design your app idea using Figma task",-10,-10,"2022-01-13 03:00:08","2022-01-13 03:00:08",ptd
232,64,"Coins removed for the late submission of Design your app idea using Figma task",190,-10,"2022-01-13 03:00:11","2022-01-13 03:00:11",ptd
233,86,"Coins removed for the late submission of Web API's task",0,-10,"2022-01-13 03:00:13","2022-01-13 03:00:13",ptd
234,97,"Coins removed for the late submission of Youtube contact us page task",-55,-50,"2022-01-13 03:00:13","2022-01-13 03:00:13",ptd
235,97,"Coins removed for the late submission of YouTube How it works page task",-65,-10,"2022-01-13 03:00:13","2022-01-13 03:00:13",ptd
236,99,"Coins removed for the late submission of Web API's task",-70,-10,"2022-01-13 03:00:14","2022-01-13 03:00:14",ptd
237,53,"Coins removed for the late submission of Design your app idea using Figma task",-10,-20,"2022-01-14 03:00:05","2022-01-14 03:00:05",ptd
238,98,"Coins removed for the late submission of YouTube How it works page task",175,-10,"2022-01-14 03:00:05","2022-01-14 03:00:05",ptd
239,88,"You have earned 25 coins for sharing an update on Twitter.",135,25,"2022-01-14 15:00:09","2022-01-14 15:00:09",tw
240,96,"You have earned 30 coins for sharing an update on LinkedIn.",335,30,"2022-01-14 15:00:22","2022-01-14 15:00:22",li
241,101,"You have earned 20 coins for sharing an update on LinkedIn.",20,20,"2022-01-14 15:01:04","2022-01-14 15:01:04",li
242,88,"You have earned 30 coins for sharing an update on LinkedIn.",165,30,"2022-01-14 20:06:19","2022-01-14 20:06:19",li
243,98,"Coins removed for the late submission of YouTube How it works page task",155,-20,"2022-01-15 03:00:02","2022-01-15 03:00:02",ptd
244,90,"You have earned 30 coins for sharing an update on LinkedIn.",320,30,"2022-01-15 17:22:49","2022-01-15 17:22:49",li
245,93,"You have earned 30 coins for sharing an update on LinkedIn.",310,30,"2022-01-15 21:49:19","2022-01-15 21:49:19",li
246,88,"You have earned 25 coins for sharing an update on Twitter.",190,25,"2022-01-15 21:49:39","2022-01-15 21:49:39",tw
247,92,"You have earned 30 coins for sharing an update on LinkedIn.",310,30,"2022-01-15 21:50:03","2022-01-15 21:50:03",li
248,98,"Coins removed for the late submission of YouTube How it works page task",135,-20,"2022-01-16 03:00:01","2022-01-16 03:00:01",ptd
249,91,"You have earned 30 coins for sharing an update on LinkedIn.",300,30,"2022-01-16 09:07:35","2022-01-16 09:07:35",li
250,85,"You have won 50 coins for submitting the Twitter API & Node JS on time. Keep going!",410,50,"2022-01-16 09:37:21","2022-01-16 09:37:21",tot
251,94,"You have earned 30 coins for sharing an update on LinkedIn.",460,30,"2022-01-16 10:59:36","2022-01-16 10:59:36",li
252,92,"You have earned 25 coins for sharing an update on Twitter.",335,25,"2022-01-16 11:38:01","2022-01-16 11:38:01",tw
253,91,"You have earned 25 coins for sharing an update on Twitter.",325,25,"2022-01-16 18:33:07","2022-01-16 18:33:07",tw
254,90,"Good progress friend, you got 75 coins for completing a roadmap in your career.",395,75,"2022-01-16 21:00:32","2022-01-16 21:00:32",rm
255,90,"Good progress friend, you got 75 coins for completing a roadmap in your career.",470,75,"2022-01-16 21:00:38","2022-01-16 21:00:38",rm
256,90,"Good progress friend, you got 50 coins for completing a roadmap in your career.",520,50,"2022-01-16 21:00:44","2022-01-16 21:00:44",rm
257,98,"Coins removed for the late submission of YouTube How it works page task",105,-30,"2022-01-17 03:00:01","2022-01-17 03:00:01",ptd
258,98,"Coins removed for the late submission of YouTube How it works page task",55,-50,"2022-01-18 03:00:01","2022-01-18 03:00:01",ptd
259,92,"You have earned 30 coins for sharing an update on LinkedIn.",365,30,"2022-01-18 22:06:58","2022-01-18 22:06:58",li
260,91,"You have earned 30 coins for sharing an update on LinkedIn.",355,30,"2022-01-18 22:07:26","2022-01-18 22:07:26",li
